koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_srad
CONFIRMED,0,0,0,0,7.953547,174.66224,0.3,2.6312,875.0,2.25,696.0,55.37,38.4,4768.0,0.779
CONFIRMED,0,0,0,0,4.14451656,135.92831,0.004,2.3421,392.0,1.48,864.0,132.08,22.8,4768.0,0.779
FALSE POSITIVE,0,1,0,0,4.859386384,173.011469,1.2590000000000001,2.2757,6040.0,38.33,1114.0,364.23,269.7,6072.0,0.988
CONFIRMED,0,0,0,0,10.52629458,176.52246200000002,0.644,2.5211,9770.0,8.24,713.0,61.16,482.3,5386.0,0.7929999999999999
CONFIRMED,0,0,0,0,4.583520948,169.973972,0.045,2.7055,3810.0,5.39,1038.0,274.98,99.5,5815.0,0.877
CONFIRMED,0,0,0,0,3.76181843,171.90364,0.9259999999999999,3.5176,511.0,2.66,1121.0,372.62,35.9,5653.0,0.9490000000000001
CONFIRMED,0,0,0,0,8.20396958,169.69138,0.823,2.9667,1020.0,3.01,742.0,71.5,54.4,5015.0,0.826
CONFIRMED,0,0,0,0,14.49645186,143.41658999999999,0.97,4.016,648.0,3.01,613.0,33.48,25.7,5015.0,0.826
CANDIDATE,0,0,0,0,6.54626149,133.85963999999998,0.644,2.75,656.0,2.19,810.0,101.78,24.8,5251.0,0.8170000000000001
CONFIRMED,0,0,0,0,12.71809866,175.35526000000002,0.42700000000000005,3.0957,1150.0,2.31,562.0,23.6,52.7,4702.0,0.6859999999999999
CONFIRMED,0,0,0,0,36.06588163,198.58423,0.26,4.3246,1560.0,2.64,397.0,5.88,51.7,4702.0,0.6859999999999999
CONFIRMED,0,0,0,0,4.190425659,171.44122,0.45799999999999996,2.8589,2880.0,6.21,1234.0,547.9,240.6,6073.0,1.135
CONFIRMED,0,0,0,0,3.7098707839999996,171.98798200000002,0.023,3.0694,2020.0,4.35,1151.0,415.1,116.1,5727.0,0.978
CONFIRMED,0,0,0,0,16.3297527,177.29506,0.7909999999999999,6.271,1190.0,3.75,727.0,66.08,74.6,5878.0,0.987
